condition,dx_code,dx_method
"Arrhythmia, Cardiac",04156110,HIC
"Arrhythmia, Cardiac",04155311,HIC
"Arrhythmia, Cardiac",04166132,HIC
"Arrhythmia, Cardiac",04155319,HIC
"Arrhythmia, Cardiac",04155410,HIC
"Arrhythmia, Cardiac",04165110,HIC
"Arrhythmia, Cardiac",04158110,HIC
"Arrhythmia, Cardiac",04155220,HIC
"Arrhythmia, Cardiac",04161111,HIC
"Arrhythmia, Cardiac",04169190,HIC
"Arrhythmia, Cardiac",04161323,HIC
"Arrhythmia, Cardiac",04169196,HIC
"Arrhythmia, Cardiac",04169130,HIC
"Arrhythmia, Cardiac",04164111,HIC
"Arrhythmia, Cardiac",04165111,HIC
"Arrhythmia, Cardiac",04160111,HIC
"Arrhythmia, Cardiac",04159210,HIC
"Arrhythmia, Cardiac",04169430,HIC
"Arrhythmia, Cardiac",04169402,HIC
"Arrhythmia, Cardiac",04161320,HIC
"Arrhythmia, Cardiac",04161112,HIC
"Arrhythmia, Cardiac",04166142,HIC
"Arrhythmia, Cardiac",04169192,HIC
"Arrhythmia, Cardiac",04169191,HIC
"Arrhythmia, Cardiac",04169310,HIC
"Arrhythmia, Cardiac",04155312,HIC
"Arrhythmia, Cardiac",04158111,HIC
"Arrhythmia, Cardiac",04169434,HIC
"Arrhythmia, Cardiac",04153120,HIC
"Arrhythmia, Cardiac",04161120,HIC
"Arrhythmia, Cardiac",04163210,HIC
"Arrhythmia, Cardiac",04155314,HIC
"Arrhythmia, Cardiac",04169131,HIC
"Arrhythmia, Cardiac",04155318,HIC
"Arrhythmia, Cardiac",I45.4,I10
"Arrhythmia, Cardiac",I44.5,I10
"Arrhythmia, Cardiac",I45.81,I10
"Arrhythmia, Cardiac",I49.9,I10
"Arrhythmia, Cardiac",I49.02,I10
"Arrhythmia, Cardiac",I49.2,I10
"Arrhythmia, Cardiac",I45.89,I10
"Arrhythmia, Cardiac",I48.91,I10
"Arrhythmia, Cardiac",I44.1,I10
"Arrhythmia, Cardiac",I45.19,I10
"Arrhythmia, Cardiac",I48.3,I10
"Arrhythmia, Cardiac",I49.49,I10
"Arrhythmia, Cardiac",R55,I10
"Arrhythmia, Cardiac",I47.1,I10
"Arrhythmia, Cardiac",I49.1,I10
"Arrhythmia, Cardiac",I48.0,I10
"Arrhythmia, Cardiac",R00.9,I10
"Arrhythmia, Cardiac",I44.7,I10
"Arrhythmia, Cardiac",I44.30,I10
"Arrhythmia, Cardiac",I44.0,I10
"Arrhythmia, Cardiac",R00.1,I10
"Arrhythmia, Cardiac",I45.2,I10
"Arrhythmia, Cardiac",I48.92,I10
"Arrhythmia, Cardiac",I44.2,I10
"Arrhythmia, Cardiac",I49.5,I10
"Arrhythmia, Cardiac",I44.39,I10
"Arrhythmia, Cardiac",I49.01,I10
"Arrhythmia, Cardiac",R00.8,I10
"Arrhythmia, Cardiac",R01.1,I10
"Arrhythmia, Cardiac",I45.9,I10
"Arrhythmia, Cardiac",I44.60,I10
"Arrhythmia, Cardiac",I47.2,I10
"Arrhythmia, Cardiac",R00.0,I10
"Arrhythmia, Cardiac",I49.8,I10
"Arrhythmia, Cardiac",I48.1,I10
"Arrhythmia, Cardiac",I48.4,I10
"Arrhythmia, Cardiac",I45.5,I10
"Arrhythmia, Cardiac",R00.2,I10
"Arrhythmia, Cardiac",I44.4,I10
"Arrhythmia, Cardiac",I45.10,I10
"Arrhythmia, Cardiac",R01.0,I10
"Arrhythmia, Cardiac",I49.3,I10
"Arrhythmia, Cardiac",I48.2,I10
Depression,296.26,I9
Depression,309.4,I9
Depression,296.60,I9
Depression,296.65,I9
Depression,296.21,I9
Depression,296.34,I9
Depression,296.25,I9
Depression,296.7,I9
Depression,306.8,I9
Depression,296.80,I9
Depression,296.36,I9
Depression,296.33,I9
Depression,296.31,I9
Depression,309.0,I9
Depression,296.89,I9
Depression,296.20,I9
Depression,V79.0,I9
Depression,296.52,I9
Depression,296.22,I9
Depression,296.30,I9
Depression,296.23,I9
Depression,296.40,I9
Depression,300.11,I9
Depression,311,I9
Depression,296.90,I9
Depression,296.35,I9
Depression,296.62,I9
Depression,296.51,I9
Depression,300.4,I9
Depression,296.50,I9
Depression,296.32,I9
Depression,03082210,HIC
Depression,03089110,HIC
Depression,03082140,HIC
Depression,03105150,HIC
Depression,03105133,HIC
Depression,03089120,HIC
Depression,03105130,HIC
Depression,03105110,HIC
Depression,03082150,HIC
Depression,03081120,HIC
Depression,03089111,HIC
Depression,03089121,HIC
Depression,03082111,HIC
Depression,03088110,HIC
Depression,03081130,HIC
Depression,F33.40,I10
Depression,F31.62,I10
Depression,F31.32,I10
Depression,F41.8,I10
Depression,F31.9,I10
Depression,F32.2,I10
Depression,F43.23,I10
Depression,F32.1,I10
Depression,F43.21,I10
Depression,F31.77,I10
Depression,Z86.59,I10
Depression,F33.41,I10
Depression,F31.89,I10
Depression,F33.9,I10
Depression,F30.13,I10
Depression,F25.1,I10
Depression,F33.0,I10
Depression,F32.81,I10
Depression,F32.9,I10
Depression,F39,I10
Depression,F31.75,I10
Depression,F32.5,I10
Depression,F33.42,I10
Depression,F32.0,I10
Depression,F31.4,I10
Depression,F31.31,I10
Depression,F33.1,I10
Depression,F34.1,I10
Depression,F31.10,I10
Depression,F32.4,I10
Depression,F33.2,I10
Depression,F31.81,I10
Diabetes,362.01,I9
Diabetes,357.2,I9
Diabetes,249.40,I9
Diabetes,648.81,I9
Diabetes,790.2,I9
Diabetes,250.71,I9
Diabetes,250.40,I9
Diabetes,962.3,I9
Diabetes,362.02,I9
Diabetes,250.52,I9
Diabetes,250.60,I9
Diabetes,250.00,I9
Diabetes,250.83,I9
Diabetes,250.73,I9
Diabetes,250.02,I9
Diabetes,250.43,I9
Diabetes,V58.67,I9
Diabetes,362.05,I9
Diabetes,250.12,I9
Diabetes,648.80,I9
Diabetes,250.13,I9
Diabetes,362.07,I9
Diabetes,250.01,I9
Diabetes,648.02,I9
Diabetes,250.82,I9
Diabetes,250.61,I9
Diabetes,249.80,I9
Diabetes,250.62,I9
Diabetes,648.00,I9
Diabetes,249.00,I9
Diabetes,790.22,I9
Diabetes,250.03,I9
Diabetes,648.83,I9
Diabetes,250.72,I9
Diabetes,790.29,I9
Diabetes,250.50,I9
Diabetes,250.42,I9
Diabetes,250.70,I9
Diabetes,250.41,I9
Diabetes,250.91,I9
Diabetes,362.03,I9
Diabetes,249.81,I9
Diabetes,249.01,I9
Diabetes,250.81,I9
Diabetes,648.03,I9
Diabetes,250.53,I9
Diabetes,249.41,I9
Diabetes,250.63,I9
Diabetes,250.11,I9
Diabetes,250.51,I9
Diabetes,790.21,I9
Diabetes,250.80,I9
Diabetes,250.90,I9
Diabetes,E932.3,I9
Diabetes,250.62,I9
Diabetes,250.60,I9
Diabetes,250.72,I9
Diabetes,357.2,I9
Diabetes,250.91,I9
Diabetes,249.40,I9
Diabetes,250.02,I9
Diabetes,250.42,I9
Diabetes,250.73,I9
Diabetes,250.41,I9
Diabetes,249.80,I9
Diabetes,249.81,I9
Diabetes,648.83,I9
Diabetes,250.71,I9
Diabetes,790.29,I9
Diabetes,250.13,I9
Diabetes,249.01,I9
Diabetes,362.03,I9
Diabetes,362.01,I9
Diabetes,250.52,I9
Diabetes,250.90,I9
Diabetes,250.83,I9
Diabetes,250.12,I9
Diabetes,648.80,I9
Diabetes,250.01,I9
Diabetes,250.63,I9
Diabetes,250.61,I9
Diabetes,790.2,I9
Diabetes,962.3,I9
Diabetes,250.03,I9
Diabetes,648.02,I9
Diabetes,250.11,I9
Diabetes,362.02,I9
Diabetes,648.00,I9
Diabetes,648.03,I9
Diabetes,362.05,I9
Diabetes,250.81,I9
Diabetes,648.81,I9
Diabetes,250.80,I9
Diabetes,250.00,I9
Diabetes,V58.67,I9
Diabetes,250.82,I9
Diabetes,250.51,I9
Diabetes,250.43,I9
Diabetes,790.21,I9
Diabetes,250.40,I9
Diabetes,249.00,I9
Diabetes,250.50,I9
Diabetes,362.07,I9
Diabetes,249.41,I9
Diabetes,790.22,I9
Diabetes,E932.3,I9
Diabetes,250.53,I9
Diabetes,250.70,I9
Diabetes,02719210,HIC
Diabetes,02500117,HIC
Diabetes,05379670,HIC
Diabetes,02500130,HIC
Diabetes,03774420,HIC
Diabetes,02502420,HIC
Diabetes,02502610,HIC
Diabetes,02500118,HIC
Diabetes,34721112,HIC
Diabetes,02500212,HIC
Diabetes,02500110,HIC
Diabetes,02506140,HIC
Diabetes,34199714,HIC
Diabetes,09623220,HIC
Diabetes,02502111,HIC
Diabetes,02502210,HIC
Diabetes,02500211,HIC
Diabetes,02500120,HIC
Diabetes,09623210,HIC
Diabetes,09623321,HIC
Diabetes,02501110,HIC
Diabetes,02500210,HIC
Diabetes,03774410,HIC
Diabetes,34735111,HIC
Diabetes,07079180,HIC
Diabetes,02502110,HIC
Diabetes,09623211,HIC
Diabetes,34721111,HIC
Diabetes,02500111,HIC
Diabetes,02500113,HIC
Diabetes,09623321,HIC
Diabetes,09623210,HIC
Diabetes,02502110,HIC
Diabetes,02500118,HIC
Diabetes,03774420,HIC
Diabetes,02500111,HIC
Diabetes,02500210,HIC
Diabetes,02506140,HIC
Diabetes,02502111,HIC
Diabetes,05379670,HIC
Diabetes,02500113,HIC
Diabetes,09623220,HIC
Diabetes,02502210,HIC
Diabetes,34199714,HIC
Diabetes,02502420,HIC
Diabetes,02500120,HIC
Diabetes,02719210,HIC
Diabetes,02500212,HIC
Diabetes,02502610,HIC
Diabetes,07079180,HIC
Diabetes,03774410,HIC
Diabetes,34721112,HIC
Diabetes,02500130,HIC
Diabetes,02500110,HIC
Diabetes,09623211,HIC
Diabetes,02501110,HIC
Diabetes,02500211,HIC
Diabetes,34721111,HIC
Diabetes,02500117,HIC
Diabetes,E11.621,I10
Diabetes,E11.22,I10
Diabetes,E11.69,I10
Diabetes,E11.3512,I10
Diabetes,R73.03,I10
Diabetes,E11.59,I10
Diabetes,E11.9,I10
Diabetes,E11.622,I10
Diabetes,E13.59,I10
Diabetes,E08.40,I10
Diabetes,E11.359,I10
Diabetes,E09.65,I10
Diabetes,E11.10,I10
Diabetes,E11.649,I10
Diabetes,E11.51,I10
Diabetes,E11.3411,I10
Diabetes,E10.9,I10
Diabetes,E09.9,I10
Diabetes,E10.311,I10
Diabetes,O24.415,I10
Diabetes,E13.42,I10
Diabetes,E11.311,I10
Diabetes,E08.22,I10
Diabetes,E11.21,I10
Diabetes,E11.628,I10
Diabetes,E10.3292,I10
Diabetes,E11.8,I10
Diabetes,O09.899,I10
Diabetes,E13.621,I10
Diabetes,E13.22,I10
Diabetes,O24.425,I10
Diabetes,Z86.32,I10
Diabetes,P70.0,I10
Diabetes,O24.419,I10
Diabetes,E11.3593,I10
Diabetes,O24.429,I10
Diabetes,E11.331,I10
Diabetes,E23.2,I10
Diabetes,E11.52,I10
Diabetes,E11.3513,I10
Diabetes,E11.3592,I10
Diabetes,E11.359,I10
Diabetes,E13.649,I10
Diabetes,E11.65,I10
Diabetes,E13.29,I10
Diabetes,E10.3599,I10
Diabetes,E11.3492,I10
Diabetes,E11.319,I10
Diabetes,E11.36,I10
Diabetes,E11.3311,I10
Diabetes,E11.29,I10
Diabetes,E11.43,I10
Diabetes,E11.351,I10
Diabetes,O24.410,I10
Diabetes,E10.40,I10
Diabetes,P70.4,I10
Diabetes,E11.3599,I10
Diabetes,O24.420,I10
Diabetes,E10.21,I10
Diabetes,E11.00,I10
Diabetes,E11.39,I10
Diabetes,E10.65,I10
Diabetes,E11.3291,I10
Diabetes,E11.42,I10
Diabetes,E11.331,I10
Diabetes,E11.40,I10
Diabetes,E13.10,I10
Diabetes,O24.439,I10
Diabetes,E08.65,I10
Diabetes,E11.3591,I10
Diabetes,E11.351,I10
Diabetes,R73.03,I10
Diabetes,E11.21,I10
Diabetes,E23.2,I10
Diabetes,E13.59,I10
Diabetes,E11.69,I10
Diabetes,E11.351,I10
Diabetes,O24.410,I10
Diabetes,E11.331,I10
Diabetes,E11.8,I10
Diabetes,E11.3591,I10
Diabetes,E11.622,I10
Diabetes,E11.359,I10
Diabetes,E11.39,I10
Diabetes,E11.10,I10
Diabetes,E13.649,I10
Diabetes,E13.42,I10
Diabetes,E11.40,I10
Diabetes,E11.3492,I10
Diabetes,E10.311,I10
Diabetes,E08.22,I10
Diabetes,E11.9,I10
Diabetes,P70.0,I10
Diabetes,E11.3291,I10
Diabetes,O24.439,I10
Diabetes,E08.65,I10
Diabetes,E11.319,I10
Diabetes,E11.29,I10
Diabetes,E13.22,I10
Diabetes,E08.40,I10
Diabetes,O24.425,I10
Diabetes,E11.22,I10
Diabetes,E10.3292,I10
Diabetes,E10.3599,I10
Diabetes,E11.628,I10
Diabetes,E13.10,I10
Diabetes,E11.621,I10
Diabetes,E11.51,I10
Diabetes,E13.29,I10
Diabetes,E13.621,I10
Diabetes,E11.3513,I10
Diabetes,E11.3599,I10
Diabetes,E10.40,I10
Diabetes,E11.3311,I10
Diabetes,E10.65,I10
Diabetes,E11.3512,I10
Diabetes,O09.899,I10
Diabetes,E11.311,I10
Diabetes,E11.3592,I10
Diabetes,E11.359,I10
Diabetes,E11.00,I10
Diabetes,O24.415,I10
Diabetes,E10.9,I10
Diabetes,E11.331,I10
Diabetes,E11.59,I10
Diabetes,O24.419,I10
Diabetes,O24.420,I10
Diabetes,E10.21,I10
Diabetes,E11.649,I10
Diabetes,E11.65,I10
Diabetes,E11.42,I10
Diabetes,E11.3593,I10
Diabetes,Z86.32,I10
Diabetes,E11.3411,I10
Diabetes,O24.429,I10
Diabetes,E09.9,I10
Diabetes,E09.65,I10
Diabetes,E11.43,I10
Diabetes,E11.52,I10
Diabetes,E11.36,I10
Diabetes,E11.351,I10
Dyspnea,786.03,I9
Dyspnea,786.00,I9
Dyspnea,786.06,I9
Dyspnea,786.04,I9
Dyspnea,786.07,I9
Dyspnea,786.09,I9
Dyspnea,786.02,I9
Dyspnea,786.01,I9
Dyspnea,786.05,I9
Dyspnea,07782311,HIC
Dyspnea,07782310,HIC
Dyspnea,07782113,HIC
Dyspnea,07781111,HIC
Dyspnea,07781511,HIC
Dyspnea,07781210,HIC
Dyspnea,07781110,HIC
Dyspnea,R06.09,I10
Dyspnea,R06.2,I10
Dyspnea,R06.89,I10
Dyspnea,R06.00,I10
Dyspnea,R06.03,I10
Dyspnea,R06.01,I10
Dyspnea,R06.02,I10
Dyspnea,R06.4,I10
Dyspnea,R06.9,I10
Fatigue,780.71,I9
Fatigue,780.79,I9
Fatigue,780.7,I9
Fatigue,07927110,HIC
Fatigue,07927220,HIC
Fatigue,R53.81,I10
Fatigue,R53.1,I10
Fatigue,R53.83,I10
Fatigue,R53.82,I10
Hypertension,402.90,I9
Hypertension,401.9,I9
Hypertension,405.91,I9
Hypertension,403.9,I9
Hypertension,642.03,I9
Hypertension,362.11,I9
Hypertension,403.90,I9
Hypertension,642.93,I9
Hypertension,401.0,I9
Hypertension,402.91,I9
Hypertension,403.91,I9
Hypertension,404.91,I9
Hypertension,642.21,I9
Hypertension,642.91,I9
Hypertension,642.51,I9
Hypertension,642.23,I9
Hypertension,401.1,I9
Hypertension,404.90,I9
Hypertension,404.13,I9
Hypertension,405.99,I9
Hypertension,642.01,I9
Hypertension,642.31,I9
Hypertension,642.41,I9
Hypertension,04039111,HIC
Hypertension,06379110,HIC
Hypertension,04031110,HIC
Hypertension,04010310,HIC
Hypertension,04010220,HIC
Hypertension,04030112,HIC
Hypertension,04010114,HIC
Hypertension,04010110,HIC
Hypertension,04010121,HIC
Hypertension,04039112,HIC
Hypertension,04050210,HIC
Hypertension,04010120,HIC
Hypertension,34199727,HIC
Hypertension,04010210,HIC
Hypertension,04010211,HIC
Hypertension,04010112,HIC
Hypertension,04020112,HIC
Hypertension,04010111,HIC
Hypertension,I15.0,I10
Hypertension,I13.11,I10
Hypertension,I11.0,I10
Hypertension,O10.912,I10
Hypertension,O13.5,I10
Hypertension,O13.4,I10
Hypertension,I12.9,I10
Hypertension,I10,I10
Hypertension,I16.0,I10
Hypertension,I16.1,I10
Hypertension,O10.019,I10
Hypertension,O10.012,I10
Hypertension,O10.02,I10
Hypertension,O11.4,I10
Hypertension,O10.011,I10
Hypertension,O11.3,I10
Hypertension,O13.3,I10
Hypertension,O10.93,I10
Hypertension,I12.0,I10
Hypertension,O10.013,I10
Hypertension,O10.913,I10
Hypertension,O16.9,I10
Hypertension,O13.9,I10
Hypertension,I13.0,I10
Hypertension,O11.5,I10
Hypertension,I13.10,I10
Hypertension,O10.92,I10
Hypertension,I13.2,I10
Hypertension,I16.9,I10
Hypertension,H35.039,I10
Hypertension,I11.9,I10
Malignancy,155.2,I9
Malignancy,199.0,I9
Malignancy,232.1,I9
Malignancy,203.02,I9
Malignancy,198.2,I9
Malignancy,186.9,I9
Malignancy,200.00,I9
Malignancy,191.1,I9
Malignancy,173.22,I9
Malignancy,174.1,I9
Malignancy,141.0,I9
Malignancy,171.3,I9
Malignancy,234.8,I9
Malignancy,196.9,I9
Malignancy,154.0,I9
Malignancy,162.9,I9
Malignancy,156.0,I9
Malignancy,171.4,I9
Malignancy,162.2,I9
Malignancy,157.8,I9
Malignancy,151.4,I9
Malignancy,161.8,I9
Malignancy,202.81,I9
Malignancy,173.42,I9
Malignancy,191.6,I9
Malignancy,195.8,I9
Malignancy,197.1,I9
Malignancy,173.2,I9
Malignancy,200.30,I9
Malignancy,232.0,I9
Malignancy,179,I9
Malignancy,200.38,I9
Malignancy,173.39,I9
Malignancy,171.7,I9
Malignancy,173.12,I9
Malignancy,197.5,I9
Malignancy,173.52,I9
Malignancy,196.2,I9
Malignancy,197.3,I9
Malignancy,173.62,I9
Malignancy,200.72,I9
Malignancy,173.99,I9
Malignancy,191.9,I9
Malignancy,150.9,I9
Malignancy,202.00,I9
Malignancy,150.8,I9
Malignancy,153.2,I9
Malignancy,200.16,I9
Malignancy,233.1,I9
Malignancy,158.9,I9
Malignancy,200.08,I9
Malignancy,203.01,I9
Malignancy,198.0,I9
Malignancy,202.82,I9
Malignancy,198.1,I9
Malignancy,188.1,I9
Malignancy,162.3,I9
Malignancy,173.6,I9
Malignancy,173.61,I9
Malignancy,203.00,I9
Malignancy,195.0,I9
Malignancy,172.9,I9
Malignancy,152.9,I9
Malignancy,204.10,I9
Malignancy,155.1,I9
Malignancy,183.0,I9
Malignancy,200.11,I9
Malignancy,172.3,I9
Malignancy,230.4,I9
Malignancy,173.7,I9
Malignancy,202.40,I9
Malignancy,188.9,I9
Malignancy,193,I9
Malignancy,150.5,I9
Malignancy,148.8,I9
Malignancy,187.8,I9
Malignancy,164.0,I9
Malignancy,174.3,I9
Malignancy,198.6,I9
Malignancy,153.6,I9
Malignancy,160.0,I9
Malignancy,153.9,I9
Malignancy,173.82,I9
Malignancy,200.13,I9
Malignancy,202.10,I9
Malignancy,173.91,I9
Malignancy,151.0,I9
Malignancy,157.0,I9
Malignancy,154.1,I9
Malignancy,173.60,I9
Malignancy,185,I9
Malignancy,184.0,I9
Malignancy,152.8,I9
Malignancy,174.5,I9
Malignancy,196.3,I9
Malignancy,171.8,I9
Malignancy,172.7,I9
Malignancy,173.72,I9
Malignancy,171.9,I9
Malignancy,172.5,I9
Malignancy,173.29,I9
Malignancy,197.0,I9
Malignancy,162.5,I9
Malignancy,163.9,I9
Malignancy,170.6,I9
Malignancy,200.70,I9
Malignancy,144.0,I9
Malignancy,153.4,I9
Malignancy,141.4,I9
Malignancy,173.30,I9
Malignancy,202.88,I9
Malignancy,164.9,I9
Malignancy,174.9,I9
Malignancy,152.0,I9
Malignancy,232.9,I9
Malignancy,196.6,I9
Malignancy,187.4,I9
Malignancy,150.4,I9
Malignancy,189.0,I9
Malignancy,197.6,I9
Malignancy,202.03,I9
Malignancy,150.3,I9
Malignancy,197.8,I9
Malignancy,232.4,I9
Malignancy,204.11,I9
Malignancy,191.3,I9
Malignancy,173.11,I9
Malignancy,202.08,I9
Malignancy,208.90,I9
Malignancy,170.0,I9
Malignancy,202.71,I9
Malignancy,173.71,I9
Malignancy,142.0,I9
Malignancy,189.3,I9
Malignancy,196.0,I9
Malignancy,173.51,I9
Malignancy,201.92,I9
Malignancy,155.0,I9
Malignancy,159.0,I9
Malignancy,198.7,I9
Malignancy,200.80,I9
Malignancy,173.3,I9
Malignancy,173.31,I9
Malignancy,161.9,I9
Malignancy,202.80,I9
Malignancy,232.2,I9
Malignancy,205.10,I9
Malignancy,173.32,I9
Malignancy,173.1,I9
Malignancy,190.6,I9
Malignancy,208.0,I9
Malignancy,153.3,I9
Malignancy,174.2,I9
Malignancy,197.4,I9
Malignancy,196.5,I9
Malignancy,188.2,I9
Malignancy,202.83,I9
Malignancy,173.9,I9
Malignancy,173.0,I9
Malignancy,174.4,I9
Malignancy,180.9,I9
Malignancy,198.5,I9
Malignancy,173.5,I9
Malignancy,159.9,I9
Malignancy,203.8,I9
Malignancy,197.2,I9
Malignancy,158.8,I9
Malignancy,232.3,I9
Malignancy,141.8,I9
Malignancy,198.3,I9
Malignancy,173.4,I9
Malignancy,173.10,I9
Malignancy,151.9,I9
Malignancy,156.2,I9
Malignancy,200.10,I9
Malignancy,232.7,I9
Malignancy,232.6,I9
Malignancy,180.0,I9
Malignancy,233.7,I9
Malignancy,173.40,I9
Malignancy,153.1,I9
Malignancy,184.4,I9
Malignancy,204.1,I9
Malignancy,157.9,I9
Malignancy,170.9,I9
Malignancy,162.8,I9
Malignancy,198.82,I9
Malignancy,199.1,I9
Malignancy,201.53,I9
Malignancy,174.8,I9
Malignancy,196.1,I9
Malignancy,204.12,I9
Malignancy,200.78,I9
Malignancy,173.01,I9
Malignancy,200.33,I9
Malignancy,233.0,I9
Malignancy,232.5,I9
Malignancy,173.21,I9
Malignancy,170.2,I9
Malignancy,173.50,I9
Malignancy,141.6,I9
Malignancy,198.89,I9
Malignancy,191.8,I9
Malignancy,164.2,I9
Malignancy,190.9,I9
Malignancy,188.8,I9
Malignancy,197.7,I9
Malignancy,182.0,I9
Malignancy,153.8,I9
Malignancy,02001116,HIC
Malignancy,01989660,HIC
Malignancy,01736210,HIC
Malignancy,01982490,HIC
Malignancy,01841114,HIC
Malignancy,01562111,HIC
Malignancy,01602111,HIC
Malignancy,01509110,HIC
Malignancy,01790860,HIC
Malignancy,01990120,HIC
Malignancy,01550110,HIC
Malignancy,01728120,HIC
Malignancy,01990111,HIC
Malignancy,01890110,HIC
Malignancy,01961160,HIC
Malignancy,02025300,HIC
Malignancy,01790380,HIC
Malignancy,01608210,HIC
Malignancy,01792800,HIC
Malignancy,01930110,HIC
Malignancy,02019118,HIC
Malignancy,01733111,HIC
Malignancy,01989990,HIC
Malignancy,01880110,HIC
Malignancy,01973210,HIC
Malignancy,01741111,HIC
Malignancy,01737120,HIC
Malignancy,01792140,HIC
Malignancy,01986630,HIC
Malignancy,01988870,HIC
Malignancy,01538112,HIC
Malignancy,01850115,HIC
Malignancy,01989210,HIC
Malignancy,01520110,HIC
Malignancy,01790264,HIC
Malignancy,01790450,HIC
Malignancy,02013114,HIC
Malignancy,01970110,HIC
Malignancy,01974110,HIC
Malignancy,01961150,HIC
Malignancy,01510111,HIC
Malignancy,01706160,HIC
Malignancy,01792230,HIC
Malignancy,02022110,HIC
Malignancy,01980111,HIC
Malignancy,01792891,HIC
Malignancy,01737140,HIC
Malignancy,02022120,HIC
Malignancy,01790260,HIC
Malignancy,01913110,HIC
Malignancy,01976120,HIC
Malignancy,02022160,HIC
Malignancy,01792750,HIC
Malignancy,01792810,HIC
Malignancy,01988380,HIC
Malignancy,01959110,HIC
Malignancy,01738120,HIC
Malignancy,01521110,HIC
Malignancy,01737210,HIC
Malignancy,01790861,HIC
Malignancy,01971110,HIC
Malignancy,01734210,HIC
Malignancy,01790651,HIC
Malignancy,01791370,HIC
Malignancy,01792770,HIC
Malignancy,01792660,HIC
Malignancy,01740112,HIC
Malignancy,01733117,HIC
Malignancy,01790460,HIC
Malignancy,01988670,HIC
Malignancy,01790800,HIC
Malignancy,02022213,HIC
Malignancy,02022162,HIC
Malignancy,01790621,HIC
Malignancy,01969210,HIC
Malignancy,01581110,HIC
Malignancy,02022112,HIC
Malignancy,01722120,HIC
Malignancy,01979440,HIC
Malignancy,01979390,HIC
Malignancy,01710210,HIC
Malignancy,01620111,HIC
Malignancy,01951110,HIC
Malignancy,01740113,HIC
Malignancy,01990220,HIC
Malignancy,01540111,HIC
Malignancy,01800115,HIC
Malignancy,01989270,HIC
Malignancy,01550141,HIC
Malignancy,01791920,HIC
Malignancy,01519110,HIC
Malignancy,01963110,HIC
Malignancy,01976110,HIC
Malignancy,01733120,HIC
Malignancy,01729210,HIC
Malignancy,01790430,HIC
Malignancy,01700240,HIC
Malignancy,01990110,HIC
Malignancy,02079115,HIC
Malignancy,01979320,HIC
Malignancy,02030210,HIC
Malignancy,02001132,HIC
Malignancy,01942120,HIC
Malignancy,01990230,HIC
Malignancy,01790392,HIC
Malignancy,01726140,HIC
Malignancy,01440110,HIC
Malignancy,01841110,HIC
Malignancy,01830110,HIC
Malignancy,01790853,HIC
Malignancy,01470110,HIC
Malignancy,01820110,HIC
Malignancy,01800112,HIC
Malignancy,01962120,HIC
Malignancy,01790210,HIC
Malignancy,01727110,HIC
Malignancy,01790530,HIC
Malignancy,01790590,HIC
Malignancy,01550151,HIC
Malignancy,01988600,HIC
Malignancy,01974240,HIC
Malignancy,01976210,HIC
Malignancy,01969110,HIC
Malignancy,01975111,HIC
Malignancy,01733114,HIC
Malignancy,01919110,HIC
Malignancy,02030250,HIC
